Wavelength,RI_Water,RI_Water_etching,RI_B,RI_B_etching,RI_C,RI_C_etching,RI_D,RI_D_etching,RI_E,RI_E_etching,RI_F,RI_F_etching
1.332732733,-12.79960671,-9.686245988,-12.05593249,-4.134542298,-11.43304517,-1.593680792,-11.0676764,-1.322440564,-10.99897821,-5.898341075,-10.78958268,-5.317578627
1.333333333,-13.17711553,-9.355308879,-12.31025252,-4.401365977,-11.56139444,-1.632376073,-11.07688331,-1.110085035,-10.97248508,-5.634284973,-10.79777869,-5.651902772
1.333933934,-13.56511124,-9.190937804,-12.58777144,-4.754615663,-11.72222718,-1.697823736,-11.13059588,-0.928325771,-10.99904426,-5.47603586,-10.85683005,-6.083540314
1.334534535,-13.99910978,-8.919934644,-12.90007916,-5.140900538,-11.90611717,-1.760863865,-11.19592171,-0.76504051,-11.02671509,-5.313226093,-10.9044178,-6.534804609
1.335135135,-14.48364431,-8.581764376,-13.25303074,-5.551944897,-12.12238306,-1.822077311,-11.27784595,-0.622829863,-11.05898185,-5.146115349,-10.94310319,-7.000143095
1.335735736,-15.02123895,-8.207633318,-13.64906759,-5.984577842,-12.36922837,-1.882284271,-11.3761842,-0.502009166,-11.10042409,-4.977660457,-10.97521312,-7.473633207
1.336336336,-15.62140729,-7.820031543,-14.09059062,-6.4373732,-12.64970411,-1.946088837,-11.49542,-0.402612302,-11.15095782,-4.803297893,-11.00369886,-7.938936568
1.336936937,-16.28437947,-7.44128398,-14.58305346,-6.895733614,-12.96805149,-2.011699714,-11.63695539,-0.321705945,-11.2145705,-4.622583747,-11.02823961,-8.384517441
1.337537538,-17.01782297,-7.074114499,-15.13332577,-7.360790372,-13.32625751,-2.077911112,-11.80245216,-0.257069062,-11.29336233,-4.43222236,-11.05432837,-8.789137804
1.338138138,-17.83250577,-6.719709544,-15.74314305,-7.822895599,-13.72664394,-2.149671737,-11.99567227,-0.207684965,-11.38920012,-4.228997711,-11.08398626,-9.143743487
1.338738739,-18.73250574,-6.386089128,-16.41674874,-8.268398453,-14.17678398,-2.233455381,-12.21864136,-0.17306322,-11.50580653,-4.012617565,-11.11961039,-9.429277139
1.339339339,-19.72247123,-6.075024891,-17.16341098,-8.666398269,-14.67731482,-2.333355606,-12.47315254,-0.154418645,-11.64241581,-3.788350402,-11.16348494,-9.637058961
1.33993994,-20.82325169,-5.788479633,-17.98968597,-8.997609987,-15.2338549,-2.449920375,-12.76209781,-0.153245072,-11.80321109,-3.558536588,-11.21679254,-9.754449581
1.340540541,-22.02916792,-5.532356321,-18.90600914,-9.229468258,-15.84897446,-2.587232539,-13.08903708,-0.168916039,-11.99128993,-3.327140121,-11.28434526,-9.772272552
1.341141141,-23.33853311,-5.305666185,-19.91829328,-9.338383834,-16.53185016,-2.746680592,-13.4552365,-0.200014813,-12.2075091,-3.095470725,-11.36632762,-9.688379289
1.341741742,-24.32530305,-5.169140085,-20.89268191,-9.615869174,-17.25768123,-2.972045909,-13.8661077,-0.248930141,-12.46086949,-2.929405613,-11.48573167,-9.836911126
1.342342342,-26.2761598,-4.882678613,-22.43042354,-9.204608443,-18.24307465,-3.132715071,-14.38539124,-0.295461452,-12.7681277,-2.648645998,-11.59540984,-9.315875195
1.342942943,-27.41752738,-4.700980063,-23.75914928,-8.986620113,-19.18439905,-3.351257109,-14.90249633,-0.357042959,-13.08815957,-2.41416676,-11.73729775,-9.015115519
1.343543544,-28.08373868,-4.524672023,-25.14134909,-8.69416476,-20.22031597,-3.596773508,-15.47743977,-0.425696646,-13.44975749,-2.178578309,-11.90370614,-8.675548882
1.344144144,-28.0936602,-4.359574384,-26.45950394,-8.346200961,-21.36062463,-3.87083126,-16.11620355,-0.50241431,-13.85533261,-1.947111784,-12.09635306,-8.320337253
1.344744745,-27.52449937,-4.206819277,-27.50090671,-7.958558422,-22.60070378,-4.171401779,-16.81949029,-0.587538615,-14.30585875,-1.721566778,-12.31765842,-7.966496743
1.345345345,-26.63369805,-4.060328115,-28.02447265,-7.559367669,-23.93586141,-4.497680023,-17.60210464,-0.681181409,-14.81094793,-1.506001429,-12.57001073,-7.625344459
1.345945946,-25.64477052,-3.915727206,-27.89580255,-7.171148052,-25.29952931,-4.850362269,-18.4623753,-0.781958594,-15.36650446,-1.305102776,-12.85558701,-7.302979875
1.346546547,-24.6811917,-3.769181188,-27.24682241,-6.802347901,-26.56218668,-5.226496073,-19.41967848,-0.887817519,-15.987921,-1.118431119,-13.17904722,-7.001972231
1.347147147,-23.77482654,-3.614511035,-26.33155161,-6.460398275,-27.51499732,-5.618436572,-20.47443215,-0.995413778,-16.67460614,-0.945752838,-13.54061673,-6.720732506
1.347747748,-22.95114535,-3.452032052,-25.35548688,-6.146981131,-27.90491288,-6.026829234,-21.62898194,-1.102516245,-17.43183986,-0.787560778,-13.94515747,-6.460833985
1.348348348,-22.18938107,-3.286554109,-24.41420144,-5.856704696,-27.66264537,-6.458246735,-22.87972362,-1.20721994,-18.2739057,-0.642387781,-14.39567286,-6.220430576
1.348948949,-21.48524459,-3.116828661,-23.53583719,-5.585161625,-26.95213991,-6.907851883,-24.21005003,-1.310107832,-19.20263828,-0.512067697,-14.89805068,-6.001757479
1.34954955,-20.82268865,-2.94563916,-22.73566322,-5.335941455,-26.03030544,-7.365612705,-25.53116414,-1.41183951,-20.22643383,-0.398428503,-15.45604018,-5.80602546
1.35015015,-19.98537841,-2.774601128,-21.71928209,-5.148931177,-24.48725569,-8.097820762,-26.09409778,-1.558472532,-21.32636619,-0.299256915,-16.13065328,-5.739456738
1.350750751,-19.38238204,-2.54174744,-21.11596859,-4.854757838,-23.88301523,-8.323434448,-27.59663999,-1.624467158,-22.9194586,-0.22214598,-16.94243308,-5.474355295
1.351351351,-18.7762205,-2.349522599,-20.47950788,-4.674374955,-23.05551492,-8.688707821,-27.59819288,-1.718897965,-24.22835365,-0.167422669,-17.71923343,-5.331642437
1.351951952,-18.1778078,-2.152570551,-19.86737707,-4.510170082,-22.30107098,-8.975975283,-27.06577818,-1.806312437,-25.52158059,-0.132398232,-18.57878141,-5.199086873
1.352552553,-17.58090525,-1.950804859,-19.26825303,-4.35177487,-21.60601817,-9.170807774,-26.22401706,-1.884931312,-26.62990609,-0.11512703,-19.52590447,-5.071237774
1.353153153,-16.98292223,-1.751342039,-18.67493994,-4.199033164,-20.95714511,-9.272145188,-25.27342955,-1.955201001,-27.33943763,-0.11285543,-20.570247,-4.942764627
1.353753754,-16.39403291,-1.558333571,-18.08429097,-4.049852578,-20.34251175,-9.268716142,-24.34864716,-2.019893183,-27.45073277,-0.123683009,-21.71132338,-4.809343508
1.354354354,-15.8119677,-1.368435202,-17.49513759,-3.899273321,-19.75018385,-9.151150231,-23.47892975,-2.083035543,-27.01156978,-0.146926501,-22.93684055,-4.668374271
1.354954955,-15.24279994,-1.184969205,-16.90727321,-3.752479243,-19.16679465,-8.93206078,-22.68749671,-2.148729742,-26.21163446,-0.182467286,-24.21040939,-4.519308487
1.355555556,-14.68537168,-1.007061532,-16.32153495,-3.610573834,-18.59058164,-8.634627099,-21.96977647,-2.220552356,-25.29195705,-0.230532256,-25.44621601,-4.363834278
1.356156156,-14.14967271,-0.836994771,-15.74493188,-3.467455991,-18.01406599,-8.281191903,-21.30782163,-2.297661138,-24.35755097,-0.291147769,-26.47685501,-4.200259097
1.356756757,-13.63298254,-0.67817829,-15.17760783,-3.318426219,-17.4355963,-7.896220724,-20.68867067,-2.382155208,-23.48861413,-0.363889955,-27.07574942,-4.031534427
1.357357357,-13.14065619,-0.536420375,-14.62603421,-3.164150617,-16.85753351,-7.504321036,-20.10557597,-2.473619284,-22.69227044,-0.446966862,-27.09425221,-3.857620283
1.357957958,-12.67461571,-0.412801728,-14.0919803,-2.999220387,-16.28164332,-7.125635455,-19.54210094,-2.57533317,-21.96687134,-0.538072694,-26.59889691,-3.674037745
1.358558559,-12.23517119,-0.306789589,-13.57699748,-2.825597279,-15.71029964,-6.760230274,-18.98772048,-2.690175699,-21.31206082,-0.63405554,-25.79296994,-3.484754567
1.359159159,-11.76264136,-0.214652742,-13.01947684,-2.683797485,-15.08234088,-6.527259304,-18.38428368,-2.858846013,-20.60717807,-0.739792337,-24.4145998,-3.3860094
1.35975976,-11.38693665,-0.142943228,-12.55845055,-2.459300749,-14.52804458,-6.060383687,-17.81236495,-2.973739114,-20.06695542,-0.824343037,-23.89093867,-3.125180038
1.36036036,-11.03627511,-0.086994707,-12.12436246,-2.278869201,-13.99886216,-5.752040069,-17.25663013,-3.150490187,-19.52051574,-0.927923371,-23.05085286,-2.916691438
1.360960961,-10.7135709,-0.049062019,-11.71789943,-2.096905906,-13.48861315,-5.473549972,-16.69541512,-3.352962357,-18.98540408,-1.035181319,-22.28163922,-2.704632442
1.361561562,-10.41959071,-0.029926703,-11.34061659,-1.911910201,-13.00305277,-5.221267115,-16.13595591,-3.578538256,-18.4528185,-1.145324845,-21.58806312,-2.492237521
1.362162162,-10.15304319,-0.028481836,-10.99143381,-1.722449357,-12.54166388,-4.996179494,-15.57961519,-3.825331864,-17.92159632,-1.25855378,-20.95665727,-2.2831637
1.362762763,-9.9123836,-0.048724024,-10.66941795,-1.53049266,-12.1061064,-4.794465028,-15.02955712,-4.094184595,-17.38690905,-1.373125416,-20.37726683,-2.079628364
1.363363363,-9.69803838,-0.087229115,-10.37828727,-1.344453038,-11.69918361,-4.613669721,-14.49079446,-4.385206439,-16.84368251,-1.485840649,-19.83276737,-1.882723511
1.363963964,-9.508938324,-0.138413037,-10.11189361,-1.163891419,-11.31994271,-4.445000255,-13.9675882,-4.701447912,-16.3013463,-1.594002864,-19.31382346,-1.691285909
1.364564565,-9.342543829,-0.203246344,-9.874452511,-0.991970791,-10.97119082,-4.282268432,-13.46369745,-5.044487141,-15.75370939,-1.696169045,-18.81300467,-1.506152251
1.365165165,-9.196954128,-0.279770112,-9.660999638,-0.832580061,-10.64827438,-4.125621553,-12.97955492,-5.413693893,-15.2107593,-1.791628871,-18.31657189,-1.327106493
1.365765766,-9.072190308,-0.366214453,-9.473422737,-0.684817338,-10.3559256,-3.980184846,-12.52037108,-5.808313676,-14.67761632,-1.882663246,-17.81752417,-1.153408447
1.366366366,-8.965720368,-0.466750047,-9.308260857,-0.545702713,-10.08934503,-3.843372792,-12.08585899,-6.21976799,-14.15345054,-1.970429766,-17.31575131,-0.987423604
1.366966967,-8.876639002,-0.580666533,-9.165496866,-0.419331553,-9.850594497,-3.710241288,-11.67754498,-6.639872286,-13.6463435,-2.056656348,-16.80602103,-0.830320555
1.367567568,-8.801737351,-0.704477942,-9.042902685,-0.309438309,-9.63666639,-3.577101859,-11.29883891,-7.058709936,-13.15812301,-2.141581912,-16.29006091,-0.684754788
1.368168168,-8.73272999,-0.85029607,-8.92537428,-0.209160054,-9.424408085,-3.437566543,-10.90619369,-7.461101137,-12.64244511,-2.216777666,-15.72415972,-0.583919698
1.368768769,-8.683889476,-0.989804505,-8.840479079,-0.135893568,-9.263070419,-3.298214385,-10.58771464,-7.859327298,-12.20130785,-2.297332959,-15.20224411,-0.462087554
1.369369369,-8.64323197,-1.129422131,-8.76996936,-0.08403763,-9.123435526,-3.154204427,-10.29461723,-8.235441794,-11.78601103,-2.375136442,-14.68589179,-0.356432627
1.36996997,-8.611175848,-1.272464255,-8.712851977,-0.050197434,-9.004077621,-3.001809802,-10.03037985,-8.574538069,-11.39814967,-2.450446239,-14.17570689,-0.266621058
